"searchResultsLargeThumbnail href","s-image src","action href","classifiedTitle","titleIcon href","titleIcon src","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsDateValue","searchResultsDateValue 2","searchResultsLocationValue"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-odunlukta-muhtesem-manzarali-5-plus1-kiralik-akilli-ev-1300253751/detay","https://i0.shbdn.com/photos/25/37/51/lthmb_1300253751e52.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","Odunlukta Muhteşem Manzaralı 5+1 Kiralık Akıllı ev","https://globalcitygayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","260","5+1","97.500 TL","16 Mart","2026","BeşevlerOdunluk Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-central-balat-sitesi-1-plus1-full-esyali-daire-kiraliktir-1300144230/detay","https://i0.shbdn.com/photos/14/42/30/lthmb_1300144230h1f.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","CENTRAL BALAT SİTESİ / 1+1 FULL EŞYALI DAİRE KİRALIKTIR","https://homerapoint.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","70","1+1","30.000 TL","16 Mart","2026","AtaevlerAhmet Yesevi Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-cok-uygun-son-3-gun-var-acik-kapali-otopark-sb2f-5-dk-uzaklikta-konut-31-846757954/detay","","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","Çok Uygun Son 3 gün! Var Açık & Kapalı Otopark Merkeze 5 dk Uzaklıkta Konut 3+1","https://himaxgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","145","3+1","45.000 TL","17 Mart","2026","BeşevlerBeşevler Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-konak-caddesinde-sahibinden-1305730305/detay","","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","Konak Caddesinde Sahibinden","","","145","3+1","34.000 TL","16 Mart","2026","BeşevlerKonak Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-camlica-ozgur-evler-sitesi-nde-kiralik-3-plus1-daire-1305709804/detay","https://i0.shbdn.com/photos/70/98/04/lthmb_130570980469n.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","ÇAMLICA ÖZGÜR EVLER SİTESİ'NDE KİRALIK 3+1 DAİRE","https://marsciftlikliogllu.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","165","3+1","45.000 TL","16 Mart","2026","BeşevlerÇamlıca Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-ustunel-den-besevler-de-3-plus1-aile-tipi-esyasiz-kiralik-daire-1305714921/detay","https://i0.shbdn.com/photos/71/49/21/lthmb_1305714921g9r.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","ÜSTÜNEL'DEN BEŞEVLER'DE 3+1 AİLE TİPİ EŞYASIZ KİRALIK DAİRE","https://ustunelgayrimenkulbursa.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","125","3+1","18.000 TL","16 Mart","2026","BeşevlerKonak Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-nilufer-ataevler-dimora-city-2.etap-buyuk-3-plus1-kiralik-daire-1302924339/detay","https://i0.shbdn.com/photos/92/43/39/lthmb_1302924339wt1.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","NİLÜFER ATAEVLER DİMORA CİTY 2.ETAP BÜYÜK 3+1 KİRALIK DAİRE","https://bfgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","190","3+1","55.000 TL","16 Mart","2026","Ataevler"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-1-plus1-esyali-kiralik-1305700534/detay","https://i0.shbdn.com/photos/70/05/34/lthmb_1305700534sxj.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","SAHIBINDEN 1+1 EŞYALI KIRALIK","","","90","1+1","28.000 TL","16 Mart","2026","Ataevler"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-kr-gold-dan-besevler-mahalallesi-3-plus1-kiralik-daire-1305669772/detay","https://i0.shbdn.com/photos/66/97/72/lthmb_1305669772jmc.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","KR GOLD'DAN BEŞEVLER MAHALALLESİ 3+1 KİRALIK DAİRE","https://krgoldgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","140","3+1","24.500 TL","16 Mart","2026","BeşevlerBeşevler Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-ozgur-cakmak-tan-suryapi-marka-da-kiralik-105-m2-1-plus1-daire-1294267952/detay","https://i0.shbdn.com/photos/26/79/52/lthmb_1294267952282.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","ÖZGÜR ÇAKMAK'TAN SURYAPI MARKA'DA KİRALIK 105 m² 1+1 DAİRE","https://ozgurcakmak.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","105","1+1","40.000 TL","16 Mart","2026","BeşevlerOdunluk Mah."
